adc_file,source_file,mode,chunk_size,chunk_index,original_offset,original_size,compressed_size,compression_ratio,best_compressor,entropy,text_ratio,zero_ratio,unique_byte_count,feature_size_bytes
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1528,400556032,262144,182316,0.6954803466796875,lzma_6,7.311875570457214,0.45056915283203125,0.0031280517578125,256,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1529,400818176,262144,81,0.000308990478515625,zstd_10,1.8953693672656133,0.030029296875,0.760009765625,25,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1530,401080320,262144,8232,0.031402587890625,zstd_19,4.484021835622158,1.0,0.0,34,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1531,401342464,262144,262144,1.0,store,7.999205157081918,0.3847846984863281,0.003879547119140625,256,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1532,401604608,262144,104,0.000396728515625,zstd_19,0.0066727787465866726,0.000324249267578125,0.99957275390625,14,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1533,401866752,262144,278,0.00106048583984375,zstd_3,4.255231639548213,0.2675514221191406,0.22806930541992188,115,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1534,402128896,262144,1872,0.00714111328125,lzma_6,4.774260084458168,1.0,0.0,46,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1535,402391040,262144,184528,0.70391845703125,lzma_6,7.304911321689848,0.4025306701660156,0.0031890869140625,256,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1536,402653184,262144,71,0.000270843505859375,zstd_10,1.7772116148855726,0.03948974609375,0.76318359375,19,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1537,402915328,262144,262144,1.0,store,7.999318682079644,0.38278961181640625,0.0039215087890625,256,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1538,403177472,262144,8644,0.0329742431640625,lzma_6,4.482660956461653,1.0,0.0,34,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1539,403439616,262144,101,0.000385284423828125,zstd_19,0.0066727787465866726,0.000324249267578125,0.99957275390625,14,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1540,403701760,262144,1872,0.00714111328125,lzma_6,4.770677573951998,1.0,0.0,46,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1541,403963904,262144,101,0.000385284423828125,zstd_19,0.0066727787465866726,0.000324249267578125,0.99957275390625,14,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1542,404226048,262144,181032,0.690582275390625,lzma_6,7.3007205650424405,0.4244575500488281,0.00279998779296875,256,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1543,404488192,262144,82,0.00031280517578125,zstd_10,1.91181155523121,0.0289306640625,0.7596435546875,26,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1544,404750336,262144,8636,0.0329437255859375,lzma_6,4.47250840720244,1.0,0.0,34,262144
